STATE,YEAR,INCOME,PERC_BUSINESS_RETURN,UNEMP_COMP_PR,PERC_RE,AGI_PR
Illinois,2010,50k - 75k,13.6,1225.9,46.22,61735.37066
Wyoming,2015,50k - 75k,15.49,295.71,23.47,61954.07956
Georgia,2012,25k - 50k,15.89,365.14,22.91,35787.57624
Wisconsin,2011,100k - 200k,17.03,389.15,87.77,131238.046
Pennsylvania,2010,75k - 100k,15.48,1462.23,59.89,86560.4304
Nebraska,2011,25k - 50k,12.92,293.75,18.78,36296.26442
Massachusetts,2011,200k+,25.67,465.01,93.58,536871.4454
Pennsylvania,2012,200k+,24.86,256.52,92.69,510997.9885
Illinois,2012,50k - 75k,12.95,677.53,42.46,61611.60876
United States,2014,75k - 100k,16.6,254.19,47.93,86686.29924
Florida,2014,25k - 50k,14.16,95.04,12.8,35805.02978
United States,2011,Under 25k,15.71,628.59,5.22,12382.18773
North Carolina,2015,50k - 75k,16.32,76,35.31,61388.85856
Utah,2012,50k - 75k,17.42,304.25,53.33,61647.23776
Mississippi,2011,100k - 200k,21.64,126.23,73.13,132095.0104
California,2013,75k - 100k,17.59,586.3,52.94,86601.29575
Arizona,2014,50k - 75k,14.29,116.11,34.39,61481.47543
Minnesota,2011,25k - 50k,12.8,742.61,25.52,36438.40172
West Virginia,2012,75k - 100k,12.79,418.33,33.47,87308.23098
Maine,2015,25k - 50k,14.83,262.71,15.74,36054.16284
Maryland,2010,Under 25k,16.12,629.6,7.26,12371.32543
Nevada,2015,200k+,24.4,25.59,74.99,624431.1655
Kentucky,2013,Under 25k,13.49,321.3,3.49,12351.88026
United States,2015,Under 25k,17.09,135.51,3.84,12420.78895
New Hampshire,2015,75k - 100k,17.73,234.3,46.14,86754.07951
Minnesota,2014,25k - 50k,11.77,330.49,17.48,36485.82641
South Carolina,2011,75k - 100k,17.61,376.97,65.13,86409.38965
Maryland,2011,25k - 50k,12.53,550.79,24.14,36564.91671
Arkansas,2014,100k - 200k,19.73,134.11,69.2,135352.5598
Delaware,2014,200k+,21.15,48.15,91.74,420902.1277
Maryland,2013,75k - 100k,16.5,285.78,65.9,86721.35698
Vermont,2012,200k+,26.92,47.91,93.65,474698.1172
Louisiana,2013,50k - 75k,16.6,122.3,23.48,61401.18069
New York,2013,25k - 50k,11.53,531.03,14.7,36323.38495
Oregon,2011,200k+,23.82,168.55,93.23,415588.5014
Montana,2012,75k - 100k,19.74,379.42,55.05,87363.93365
New Hampshire,2010,200k+,23.3,244.82,92.1,499026.0172
North Carolina,2014,75k - 100k,18.09,101.36,53.52,86600.51248
Connecticut,2015,Under 25k,14.2,229.57,5.91,11759.51774
Vermont,2015,75k - 100k,20.3,143.33,44.47,86890.44437
Louisiana,2010,25k - 50k,13.85,337.89,12.74,35938.00334
Nevada,2014,200k+,24.49,61.1,74.7,613422.3455
West Virginia,2013,Under 25k,9.1,304.07,1.56,12234.12273
Wisconsin,2013,200k+,20.74,70.05,92.74,469965.9077
New Hampshire,2011,50k - 75k,17.23,561.49,44.38,61907.06188
United States,2012,Under 25k,16.03,461.34,4.75,12382.7134
Washington,2012,25k - 50k,10.76,836.83,19.04,36367.35158
Oregon,2015,25k - 50k,12.22,314.01,18.3,36171.62201
Indiana,2011,50k - 75k,14.56,669.83,36.76,61663.33392
Alabama,2015,100k - 200k,18.99,41.32,65.13,134753.8971
Missouri,2012,Under 25k,12.7,363.29,4.48,12175.0818
Iowa,2015,50k - 75k,15.97,309.62,31.98,61719.25519
Mississippi,2010,Under 25k,16.48,499.25,3.02,13004.65258
Delaware,2015,25k - 50k,9.33,200.4,15.48,36204.59181
Texas,2014,200k+,27.96,71.27,75.76,545825.4842
Iowa,2011,50k - 75k,17.71,569.06,38.88,61930.49019
Wyoming,2013,50k - 75k,15.49,298.05,24.99,62012.83624
New Mexico,2015,25k - 50k,11.03,218.7,12.36,35891.54198
Alabama,2015,Under 25k,17.55,90.91,2.76,12978.24855
Montana,2012,50k - 75k,19.37,497.31,40.61,61816.01297
Missouri,2013,25k - 50k,12.44,294.93,16.02,36044.54189
Connecticut,2014,25k - 50k,11.63,502.57,19.7,36531.52084
Alaska,2012,Under 25k,10.63,743.28,2.47,11500.39164
Utah,2011,200k+,24.9,29.68,93.53,472830.8208
Arkansas,2013,Under 25k,15.4,288.22,2.77,12770.97274
Virginia,2013,100k - 200k,17.74,132.25,79.69,137479.4031
Mississippi,2013,50k - 75k,16.24,171.88,30.75,61486.07292
Louisiana,2012,50k - 75k,16.94,166.98,25.34,61472.45324
Delaware,2011,200k+,21.89,154.67,93.52,412956.5994
Texas,2010,50k - 75k,17.59,592.51,34.74,61442.14492
Massachusetts,2013,100k - 200k,19.88,717.32,79.75,137014.7032
Minnesota,2011,Under 25k,12.01,473.4,6.34,11785.90871
New York,2012,Under 25k,20.04,621.36,4.27,11927.95256
Georgia,2014,100k - 200k,20.52,76.1,78.31,135847.8011
Massachusetts,2013,200k+,25.25,371.39,92.86,524578.173
United States,2013,25k - 50k,12.43,449.17,16.21,36128.06788
New York,2015,100k - 200k,17.81,151.52,68,136883.1372
New Jersey,2015,200k+,22.68,206.31,91.94,481214.5407
Montana,2014,25k - 50k,14.79,308.22,17.58,36062.19253
Delaware,2014,Under 25k,10.37,209.25,3.82,12487.10195
District Of Columbia,2012,100k - 200k,19.44,141.16,65.1,137572.3456
Maryland,2015,50k - 75k,14.96,162.88,42.97,61622.89959
Hawaii,2015,200k+,28.22,13.39,84.05,410019.1643
Delaware,2012,25k - 50k,9.09,530.39,19.82,36179.94929
Indiana,2010,25k - 50k,11.01,1110.97,19.58,36095.54446
District Of Columbia,2014,200k+,27.25,33.03,83.58,520374.9232
Indiana,2011,200k+,23.65,48.98,92.18,443888.5186
New Jersey,2013,50k - 75k,12.17,841.37,42.66,61587.89618
Alaska,2010,75k - 100k,19.68,750.66,49.61,86737.34886
Maine,2011,Under 25k,14.93,550.33,5.72,12278.81301
North Dakota,2014,Under 25k,9.15,57.1,1.76,12581.02911
Vermont,2013,25k - 50k,15.39,407.49,16.34,36101.43188
Delaware,2011,75k - 100k,14.48,556.19,62.36,86518.87
Virginia,2015,50k - 75k,14.01,99.6,36.78,61628.21614
Montana,2013,25k - 50k,15.22,457.43,19.42,36078.44619
Pennsylvania,2011,200k+,25.4,340.56,93.31,462530.0203
Wyoming,2014,75k - 100k,17.66,142.64,30.66,86939.98101
South Carolina,2011,200k+,26.35,66.82,93.58,423172.8731
Vermont,2012,100k - 200k,22.26,143.37,81.13,138964.5909
District Of Columbia,2015,Under 25k,20.56,210.4,3.38,12774.43783
Alabama,2014,25k - 50k,12.81,112.3,14.43,35930.95197
Nebraska,2013,75k - 100k,17.52,115.51,47.99,87135.55045
New Jersey,2013,75k - 100k,14.76,895.53,61.03,86731.03668
Washington,2011,100k - 200k,17.55,636.99,74.05,133910.2248
New Jersey,2015,100k - 200k,18.42,462.49,78.94,138291.324
Nebraska,2013,200k+,22.93,15.31,88.84,453436.4902
Nevada,2013,25k - 50k,10.23,520.77,14.4,35746.4114
Hawaii,2010,Under 25k,12.45,518.72,5.22,12204.54792
New York,2015,Under 25k,20.17,134.98,3.59,12069.59779
Illinois,2013,25k - 50k,11.3,628.9,18.33,36261.6207
Minnesota,2010,50k - 75k,17.19,1194.3,53.45,61999.60139
Utah,2015,50k - 75k,16.91,159.44,44.15,61733.48071
Missouri,2015,25k - 50k,12.29,153.71,13.22,36115.65667
Vermont,2010,200k+,26.26,84.99,94.94,434713.6378
Rhode Island,2010,Under 25k,12.3,1082.69,6.56,12254.71148
Wyoming,2010,200k+,28.56,51.55,74.01,668775.9166
Alaska,2010,100k - 200k,21.67,426.31,65.93,134341.8338
North Dakota,2015,100k - 200k,18.29,115.9,34.59,138202.394
Connecticut,2015,25k - 50k,11.93,441.24,18.9,36546.28066
Illinois,2011,50k - 75k,13.31,853.3,45.47,61650.27636
Florida,2011,Under 25k,19.3,783.33,4.73,12895.25069
Arkansas,2012,100k - 200k,19.69,257.63,73.89,135120.1861
Ohio,2012,75k - 100k,16.39,387.83,56.56,86400.77463
Rhode Island,2015,75k - 100k,15.92,442.27,58.11,86600.7251
Texas,2012,50k - 75k,16.84,364.22,29.14,61348.99576
United States,2014,50k - 75k,14.7,269.69,32.76,61520.7755
Virginia,2012,25k - 50k,11.36,272.93,20.57,36320.49936
Hawaii,2013,25k - 50k,11.4,465.27,11.83,36296.21331
Illinois,2014,25k - 50k,11.52,351.93,16.54,36306.00024
Florida,2010,75k - 100k,15.74,512.33,52.88,86278.87761
Kansas,2015,200k+,27.24,13.76,88.97,485919.2399
Nevada,2013,100k - 200k,17.98,363.74,59.36,133174.0965
Virginia,2012,50k - 75k,13.67,238.38,42.9,61649.85923
Virginia,2011,50k - 75k,13.81,283.22,45.72,61681.8173
Iowa,2012,50k - 75k,16.9,454.35,36.09,61777.36891
Alaska,2012,75k - 100k,18.97,666.11,40.05,86727.5867
Montana,2010,100k - 200k,23.29,362.86,80.18,136169.8976
Mississippi,2011,Under 25k,16.95,387.49,2.92,12975.34537
Alaska,2010,Under 25k,9.66,885.23,2.95,11165.59679
Washington,2012,Under 25k,10.96,515.52,6,12565.59786
Nebraska,2014,Under 25k,11.3,85.18,3.02,12300.92318
Arkansas,2014,200k+,25.12,36.82,88.32,525960.9085
Tennessee,2010,Under 25k,16.96,674.08,4.33,12657.75226
Massachusetts,2014,75k - 100k,16.55,580.84,53.66,86671.9213
Louisiana,2013,25k - 50k,13.79,125.8,10.5,36064.82589
Colorado,2012,200k+,25.83,104.29,91.19,521003.8779
California,2015,25k - 50k,14.65,371.48,13.55,36119.43862
District Of Columbia,2015,100k - 200k,19.25,71.71,58.72,137975.7025
New Jersey,2014,200k+,22.56,270.28,92.12,487825.4269
Pennsylvania,2015,Under 25k,10.95,193.65,3.63,11583.42844
Maine,2013,50k - 75k,18.37,364.63,38.02,61642.81681
New York,2010,100k - 200k,19.04,707.45,77.16,136555.0979
Iowa,2010,50k - 75k,18,806.79,40.81,62472.5177
Alaska,2010,200k+,28.1,92.06,83,437285.2024
District Of Columbia,2012,50k - 75k,12.47,192.26,27.12,61254.18454
Iowa,2013,Under 25k,11.3,262.21,4.77,12319.35855
North Dakota,2013,200k+,23.86,17.41,64.25,504489.8851
New Mexico,2010,100k - 200k,20.27,349.77,75.37,133482.8176
Arkansas,2014,25k - 50k,12.48,233.11,11.01,35919.93972
Pennsylvania,2011,100k - 200k,18.21,799.5,79.22,133540.0065
Rhode Island,2014,75k - 100k,16.06,503.53,60.18,86412.96317
Missouri,2010,200k+,25.66,132.21,94.75,507924.4307
North Carolina,2014,100k - 200k,20,80.79,77.04,134894.228
Maryland,2013,Under 25k,22.45,328.84,5.28,11677.1268
Colorado,2015,100k - 200k,21.8,153.33,71.42,136516.8349
